Date,adj_close,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-05-01,167.48683166503906,168.33616700655767,166.548616072207,167.18067853080987,52472900,2023-05-01,166.44984436035156,-0.00621070228237211,0.0,0.0,0.0,0.0,Medium
2023-05-02,166.44984436035156,168.237410301642,165.46224586153255,167.98062504743248,48425700,2023-05-02,165.37338256835938,-0.006488186967694799,0.0,0.0,0.0,0.0,Medium
2023-05-03,165.37338256835938,168.80035091617836,165.08698560494395,167.39796271242133,65136000,2023-05-03,163.73394775390625,-0.00996300127301404,0.0,0.0,0.0,0.0,Medium
2023-05-04,163.73394775390625,164.96844587189068,162.27230620168868,162.8451151367803,81235400,2023-05-04,171.41746520996094,0.045859057620401315,0.0,0.0,0.0,0.0,Medium
2023-05-05,171.41746520996094,172.13840783799864,168.64230098781798,168.8595738460577,113453200,2023-05-05,171.3483428955078,-0.0004033209483301512,0.0,0.0,0.0,0.0,Medium
2023-05-08,171.3483428955078,171.6940084046762,169.97558155808977,170.34098818753938,55962800,2023-05-08,169.6398468017578,-0.010020935871048886,0.0,0.0,0.0,0.0,Medium
2023-05-09,169.6398468017578,171.38788579373352,169.47195681736497,170.90397203564868,45326900,2023-05-09,171.40760803222656,0.01036675123704882,0.0,0.0,0.0,0.0,Medium
2023-05-10,171.40760803222656,171.87178057282452,169.76819076413835,170.87431142683658,53724500,2023-05-10,171.5952606201172,0.001094175144071963,0.0,0.0,0.0,0.0,Medium
2023-05-11,171.5952606201172,172.4248398461332,170.0348529885771,171.69402651016821,49514700,2023-05-11,170.66563415527344,-0.005432281426918117,0.0,0.0,0.0,0.0,Medium
2023-05-12,170.66563415527344,172.13918180226995,169.11295243629542,171.70403494878815,45533100,2023-05-12,170.17112731933594,-0.0029017244547046707,0.0,0.0,0.0,0.0,Medium
2023-05-15,170.17112731933594,171.29854623618587,169.57774258819362,171.2490949935239,37266700,2023-05-15,170.17112731933594,0.0,0.0,0.0,0.0,0.0,Medium
2023-05-16,170.17112731933594,171.229311478379,169.90410268128184,170.0920083491569,42110300,2023-05-16,170.7843017578125,0.0035968050204658757,0.0,0.0,0.0,0.0,Medium
2023-05-17,170.7843017578125,171.02164360752573,168.53934785672587,169.81512066054435,57951600,2023-05-17,173.1182861328125,0.013573728681918674,0.0,0.0,0.0,0.0,Medium
2023-05-18,173.1182861328125,173.30619185371427,170.67554194189896,171.09090533475324,65496700,2023-05-18,173.22705078125,0.0006280705435908432,0.0,0.0,0.0,0.0,Medium
2023-05-19,173.22705078125,174.44347306887536,173.00947735219142,174.44347306887536,55809500,2023-05-19,172.2776336669922,-0.005495841571453065,0.0,0.0,0.0,0.0,Medium
2023-05-22,172.2776336669922,172.78201528070161,171.5359102025042,172.06006024351018,43570900,2023-05-22,169.66677856445312,-0.015270937303834047,0.0,0.0,0.0,0.0,Medium
2023-05-23,169.66677856445312,171.46670153051892,169.38986966050507,171.2194603598222,50747300,2023-05-23,169.9436798095703,0.001630699524412746,0.0,0.0,0.0,0.0,Medium
2023-05-24,169.9436798095703,170.51728111058472,168.63825433413288,169.2019563309073,45143500,2023-05-24,171.08099365234375,0.006670004534964313,0.0,0.0,0.0,0.0,Medium
2023-05-25,171.08099365234375,171.98093998050487,169.79533663873903,170.50739236656926,56058300,2023-05-25,173.49403381347656,0.01400612009643554,0.0,0.0,0.0,0.0,Medium
2023-05-26,173.49403381347656,173.8302932098977,171.19964403606525,171.4073332194312,54835000,2023-05-26,175.3434295654297,0.010603293931102466,0.0,0.0,0.0,0.0,Medium
2023-05-30,175.3434295654297,177.01478218217846,174.62148962052487,175.00718521743593,55964400,2023-05-30,175.29397583007812,-0.0002820790646890346,0.0,0.0,0.0,0.0,Medium
2023-05-31,175.29397583007812,177.37080753192686,174.80937774220615,175.37309480914308,99625300,2023-05-31,178.10264587402344,0.01589561988007642,0.0,0.0,0.0,0.0,Medium
2023-06-01,178.10264587402344,178.1323136072369,174.97751385870967,175.73902088879638,68901800,2023-06-01,178.953125,0.00476385373810532,0.0,0.0,0.0,0.0,Medium
2023-06-02,178.953125,179.77396735384346,177.28177256425622,179.03224397161875,61996900,2023-06-02,177.59825134277344,-0.007599915571389616,0.0,0.0,0.0,0.0,Medium
2023-06-05,177.59825134277344,182.908986017055,176.0752375225132,180.61459616435278,121946500,2023-06-05,177.2323455810547,-0.0020624258144158083,0.0,0.0,0.0,0.0,Medium
2023-06-06,177.2323455810547,178.13229186267904,175.47197477965813,177.9839532147194,64848400,2023-06-06,175.85769653320312,-0.0077864330857951684,0.0,0.0,0.0,0.0,Medium
2023-06-07,175.85769653320312,179.21028600208987,175.36321422162453,176.47084977063176,61944600,2023-06-07,178.5773468017578,0.01534669721524661,0.0,0.0,0.0,0.0,Medium
2023-06-08,178.5773468017578,178.84435638126445,175.50166626223591,175.93679801452896,50214900,2023-06-08,178.9630126953125,0.0021573287204467062,0.0,0.0,0.0,0.0,Medium
2023-06-09,178.9630126953125,180.21898667599456,178.63665261745342,179.49704685610018,48900000,2023-06-09,181.76177978515625,0.015517775934492658,0.0,0.0,0.0,0.0,Medium
2023-06-12,181.76177978515625,181.8606822718443,178.9729077272824,179.26960009694577,54274900,2023-06-12,181.287109375,-0.0026149132791909273,0.0,0.0,0.0,0.0,Medium
2023-06-13,181.287109375,182.11783606754224,180.42671494989577,180.7827428310429,54929100,2023-06-13,181.92002868652344,0.0034851735323485973,0.0,0.0,0.0,0.0,Medium
2023-06-14,181.92002868652344,182.35517550952275,180.01133431975106,181.34642742806082,57462900,2023-06-14,183.95730590820312,0.01113650988776026,0.0,0.0,0.0,0.0,Medium
