Date,adj_close,High_SPY,Low_SPY,Open_SPY,Volume_SPY,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-04-04,396.601318359375,399.75534053452026,395.21352609388964,399.46418225623887,66601500,2023-04-04,395.56292724609375,-0.002621657601407332,0.0,0.0,0.0,0.0,Medium
2023-04-05,395.56292724609375,396.63044841336455,393.8937204071827,395.8637700819139,65200200,2023-04-05,397.1059875488281,0.0038933335799635265,0.0,0.0,0.0,0.0,Medium
2023-04-06,397.1059875488281,397.3874316919931,393.6996338110333,394.75744086790206,63743300,2023-04-06,397.5135803222656,0.0010258816310717133,0.0,0.0,0.0,0.0,Medium
2023-04-10,397.5135803222656,397.5912343859073,393.98109045160913,394.6021748790041,63681000,2023-04-10,397.6203308105469,0.0002685094609297482,0.0,0.0,0.0,0.0,Medium
2023-04-11,397.6203308105469,399.0372064417564,396.8439679043257,398.1443920612367,59297900,2023-04-11,395.9996337890625,-0.004084320825514333,0.0,0.0,0.0,0.0,Medium
2023-04-12,395.9996337890625,399.99798862640296,395.4076622584617,399.70683032555564,86420400,2023-04-12,401.25958251953125,0.013195269348718655,0.0,0.0,0.0,0.0,Medium
2023-04-13,401.25958251953125,401.6186510996425,395.9414048667764,397.09626466658324,85814800,2023-04-13,400.2794494628906,-0.002445628986374724,0.0,0.0,0.0,0.0,Medium
2023-04-14,400.2794494628906,402.8317864855993,397.95033086835736,400.6191193783402,78161500,2023-04-14,401.7156677246094,0.003581617309766948,0.0,0.0,0.0,0.0,Medium
2023-04-17,401.7156677246094,401.73506642955937,398.9498270275507,400.19202532024826,66436400,2023-04-17,401.9776916503906,0.0006520495211474437,0.0,0.0,0.0,0.0,Medium
2023-04-18,401.9776916503906,403.44310835321613,400.5899290016235,403.30722856678597,63560000,2023-04-18,401.9097900390625,-0.00016893312319510428,0.0,0.0,0.0,0.0,Medium
2023-04-19,401.9097900390625,402.8220030713363,399.988251980332,400.0464777139592,55227300,2023-04-19,399.7165222167969,-0.005472059141674554,0.0,0.0,0.0,0.0,Medium
2023-04-20,399.7165222167969,401.4827817812853,398.1540527201049,399.06629536917717,75840400,2023-04-20,400.027099609375,0.000776692429211177,0.0,0.0,0.0,0.0,Medium
2023-04-21,400.027099609375,400.49290550238106,398.05704987661363,400.017385447822,73457400,2023-04-21,400.44439697265625,0.001042629007693227,0.0,0.0,0.0,0.0,Medium
2023-04-24,400.44439697265625,400.87140545538995,398.4743472249128,399.823282955463,64332100,2023-04-24,394.0877990722656,-0.016001198086587762,0.0,0.0,0.0,0.0,Medium
2023-04-25,394.0877990722656,399.017795182354,394.02957333694803,398.45490691915677,97766700,2023-04-25,392.4186096191406,-0.004244573065760337,0.0,0.0,0.0,0.0,Medium
2023-04-26,392.4186096191406,395.7958504990138,391.8557509473352,394.708930569771,80447000,2023-04-26,400.2308349609375,0.019712316367522194,0.0,0.0,0.0,0.0,Medium
2023-04-27,400.2308349609375,400.50256490015073,394.728266671442,394.9805979065479,92968400,2023-04-27,403.64691162109375,0.008499046621631005,0.0,0.0,0.0,0.0,Medium
2023-04-28,403.64691162109375,403.6566257822549,399.2798038522851,399.3380295865616,89433100,2023-04-28,403.23931884765625,-0.0010102856950950396,0.0,0.0,0.0,0.0,Medium
2023-05-01,403.23931884765625,405.2869928770317,403.00638630150297,403.2004918205734,62122300,2023-05-01,398.7072448730469,-0.011302803524602636,0.0,0.0,0.0,0.0,Medium
2023-05-02,398.7072448730469,402.56971987321276,395.7764408862858,402.52117868206994,103998500,2023-05-02,395.97052001953125,-0.0068876613731228085,0.0,0.0,0.0,0.0,Medium
2023-05-03,395.97052001953125,401.64776628515204,395.72790291088376,399.21188103710034,91531800,2023-05-03,393.1658935546875,-0.007108120282687879,0.0,0.0,0.0,0.0,Medium
2023-05-04,393.1658935546875,395.24268066712455,391.81692817389546,394.91272494332975,94901900,2023-05-04,400.44439697265625,0.01834327903870334,0.0,0.0,0.0,0.0,Medium
