,Price,SMA,EMA,RSI,MACD,MACD_Signal,ATR
2024-03-11,171.71295166015625,178.20972137451173,174.2009927951026,32.28796511818105,-4.261417250983101,-3.327251311505178,1.7657677786690849
2024-03-12,172.19007873535156,177.5179000854492,173.89162140129474,31.516858246397774,-4.106171510662506,-3.483035351336644,1.7458855765206474
2024-03-13,170.10269165039062,176.8265754699707,173.30870913192487,23.133123254796843,-4.104261464360775,-3.60728057394147,1.7494354248046875
2024-03-14,171.96144104003906,176.27242202758788,173.1014371177886,30.697441630862244,-3.907716474330641,-3.6673677540193044,1.750852312360493
2024-03-15,171.58372497558594,175.71379470825195,172.86794294206513,31.967866695536173,-3.7393270488294377,-3.681759612981331,1.681272234235491
2024-03-18,172.67713928222656,175.28687286376953,172.8385885328592,30.888024277036394,-3.4775606648007056,-3.640919823345206,1.6550031389508928
2024-03-19,175.02296447753906,175.01451873779297,173.17464637050227,39.084213796414595,-3.045711366407943,-3.5218781319577537,1.736651829310824
2024-03-20,177.597412109375,174.83311309814454,173.8550718687904,46.057548003707964,-2.467289895709797,-3.3109604847081626,1.872973850795201
2024-03-21,170.3412322998047,174.18701400756837,173.31448116586952,37.28134074738754,-2.5648339716161956,-3.1617351820897692,2.3138809204101562
2024-03-22,171.24578857421875,173.67808837890624,172.99622076715403,45.12785204532507,-2.5398701804600705,-3.0373621817638297,2.0547332763671875
2024-03-25,169.82437133789062,173.1656837463379,172.50824393188273,51.437602518547806,-2.6047566742703623,-2.9508410802651364,1.8026831490652901
2024-03-26,168.6912078857422,172.52356185913087,171.92100761709187,51.15553046168906,-2.7163046394011587,-2.903933792092341,1.8126231602260046
2024-03-27,172.2696075439453,172.12049713134766,171.97463837506933,57.4284826808524,-2.4872883471608986,-2.8206047031060524,2.059704371861049
2024-03-28,170.4505615234375,171.6597770690918,171.7401650132798,51.2881900792278,-2.4246235460769014,-2.7414084717002223,2.066807338169643
2024-04-01,169.00929260253906,171.18116760253906,171.32003079624278,45.234784750837875,-2.462869173720037,-2.6857006121041853,2.0263355800083707
2024-04-02,167.82643127441406,170.87004623413085,170.78255394673067,42.495730604558986,-2.559126119858149,-2.6603857136549784,2.076745169503348
2024-04-03,168.63156127929688,170.84668731689453,170.4516319978947,47.353337125313224,-2.541150380746558,-2.6365386470732943,1.9851553780691964
2024-04-04,167.8065643310547,170.831778717041,170.04469851068856,42.23631988321434,-2.5639195681314675,-2.622014831284929,1.91131591796875
2024-04-05,168.56199645996094,170.86060485839843,169.8165905028843,44.43227991097586,-2.492277826390591,-2.5960674303060616,1.938295636858259
2024-04-08,167.43878173828125,170.7472900390625,169.45077376986845,40.358593015855895,-2.497347404518024,-2.576323425148454,1.9404242379324776
2024-04-09,168.6514434814453,170.59421463012694,169.32779987934182,37.76250172910595,-2.3761229474193897,-2.5362833296026412,1.8594839913504464
2024-04-10,166.77279663085938,170.32335052490234,168.93472245649838,28.63869811452564,-2.403931763158994,-2.509813016313912,1.809783935546875
2024-04-11,173.9892120361328,170.51767654418944,169.7123362379806,57.2102410430683,-1.8226555977119858,-2.372381532593527,1.806943620954241
2024-04-12,175.4901580810547,170.69411239624023,170.60123190614584,58.195788594094275,-1.226735206980976,-2.143252267471017,1.8495428902762276
2024-04-15,171.6533203125,170.69759216308594,170.76309166096956,53.23032890268749,-1.0519386521108345,-1.9249895443989804,2.0220729282924106
2024-04-16,168.36318969726562,170.48189468383788,170.39387597424587,49.46166494458883,-1.1654624413667705,-1.7730841237925385,2.176142011369978
2024-04-17,166.99147033691406,170.08031997680663,169.8704289531179,40.661241186564595,-1.350548864072607,-1.6885770718485524,2.018521990094866
2024-04-18,166.03721618652344,169.50231018066407,169.28070391210338,41.94483790418124,-1.5562915620747617,-1.6621199698937945,1.9567511422293526
2024-04-19,164.00949096679688,169.18572311401368,168.4697480743639,41.06571139859556,-1.8615063251934032,-1.7019972409537163,1.998640877859933
2024-04-22,164.8444366455078,168.86565551757812,167.9120078545399,44.604298272739314,-2.012815600273001,-1.7641609128175733,1.9737897600446428
2024-04-23,165.89805603027344,168.66933975219726,167.60216911234505,45.0980027308872,-2.024375273983452,-1.816203785050749,1.9915390014648438
2024-04-24,168.00537109375,168.63504791259766,167.66420018640736,50.34084434382559,-1.8422572893597646,-1.8214144859125523,2.0831331525530135
2024-04-25,168.87013244628906,168.46507415771484,167.84972822638915,50.52631085127145,-1.6095940620092222,-1.7790504011318864,2.0909423828125
2024-04-26,168.28366088867188,168.35672912597656,167.91648709750956,51.47004787412546,-1.4557491612794422,-1.7143901531613976,2.0526035853794644
2024-04-29,172.4584503173828,168.52918701171876,168.61525066979775,56.00501203909891,-0.9855940377759964,-1.5686309300843175,2.264184134347098
2024-04-30,169.30747985839844,168.60323944091797,168.72174746804401,53.843818508215314,-0.8573665099611958,-1.4263780460596933,2.3550643920898438
2024-05-01,168.28366088867188,168.58584442138672,168.654349532756,39.346691032130394,-0.828804957150453,-1.3068634282778453,1.912736075265067
2024-05-02,171.9912872314453,168.79508056640626,169.1677245633236,43.96433911010971,-0.5012175370672196,-1.1457342500357202,2.0703560965401784
2024-05-03,182.27915954589844,169.48093872070314,171.18486840679665,64.99299196713653,0.5818361252571265,-0.8002201749771509,2.531144278390067
2024-05-06,180.6191864013672,170.13995895385742,172.63630194442288,68.12702860436534,1.291332320673888,-0.3819096758469432,2.4147044590541293
2024-05-07,181.30502319335935,170.77263793945312,173.9699513673362,71.60863762242856,1.8871999976901463,0.07191225886047475,2.365712847028458
2024-05-08,181.6429901123047,171.5161476135254,175.15041886656212,74.00615540038739,2.3595016641265545,0.5294301399136907,2.321692330496652
2024-05-09,183.46202087402344,171.98978805541992,176.42912686771,80.11693917036973,2.84775754145312,0.9930956202215766,2.3067855834960938
2024-05-10,182.1979217529297,172.32517623901367,177.31663377312842,76.51479756226074,3.0970013041550146,1.4138767570082642,2.337439400809152
2024-05-13,185.4128570556641,173.01315307617188,178.5622065858262,77.96981437758012,3.5134463696905414,1.8337906795447196,2.491819109235493
2024-05-14,186.5575256347656,173.92286987304686,179.79225567027842,77.34465172641177,3.8909943120220305,2.245231406040182,2.4230586460658463
2024-05-15,188.8368682861328,175.0151397705078,181.18373453425602,78.25156139890288,4.324280070230998,2.6610411388783453,2.5241001674107144
2024-05-16,188.9563140869141,176.16109466552734,182.37951600389573,79.64214215856806,4.623997864101142,3.0536324839229048,2.4907411847795777
2024-05-17,188.9861602783203,177.40992813110353,183.39592281534567,76.89581262024353,4.808505257882501,3.404607038714824,2.194673810686384
2024-05-20,190.15072631835935,178.67524261474608,184.43512335427084,86.26296231206604,4.991164407111654,3.7219185123941902,2.0527877807617165
2024-05-21,191.4546356201172,179.95307159423828,185.5150483182472,89.9236353827459,5.181409617535564,4.013816733422465,2.0727942330496654
2024-05-22,190.01136779785156,181.05337142944336,186.20678977664787,83.67640013687692,5.156282253925866,4.242309837523146,1.9110543387276786
2024-05-23,186.0100860595703,181.9103691101074,186.17652766632824,59.113971799654394,4.758643955691554,4.345576661156827,1.4620121547154017
2024-05-24,189.0956573486328,182.95096893310546,186.62562454052895,69.35818180551007,4.6390168567073715,4.404264700266936,1.563840593610491
2024-05-28,189.10560607910156,183.7833267211914,187.00716016184782,68.382097537998,4.493219263561059,4.422055612925761,1.5155628749302477
2024-05-29,189.4042053222656,184.78816299438478,187.37593634037364,68.32332460346333,4.351605484755112,4.407965587291631,1.5127508980887256
2024-05-30,190.39956665039065,185.8939582824707,187.8411102342224,67.04151127270006,4.2704656160281615,4.380465593038937,1.4539173671177477
2024-05-31,191.35508728027344,186.8621482849121,188.38172208746104,72.84007940615885,4.23445208689057,4.351262891809264,1.4318760463169642
2024-06-03,193.12681579589844,187.4045310974121,189.11173650414372,70.73303969093723,4.299314963178574,4.340873306083126,1.328789847237721
2024-06-04,193.4453125,188.04583740234375,189.77844050350623,69.37287236508031,4.326545558168135,4.3380077565001285,1.269777570452011
2024-06-05,194.9582366943359,188.72849807739257,190.57533222517233,67.99294580722241,4.4192638169455165,4.354258968589206,1.2150333949497747
2024-06-06,193.57472229003903,189.3250846862793,191.03677685053643,62.6361844961757,4.331178525138341,4.349642879899033,1.305324009486603
2024-06-07,195.97348022460935,189.9506576538086,191.79626967731687,66.92382006210408,4.404161581606843,4.360546620240595,1.474531991141181
2024-06-10,192.2210235595703,190.45181274414062,191.8616164284328,54.455828580699176,4.111810890955354,4.310799474383547,1.659381321498324
2024-06-11,206.18572998046875,191.49045639038087,194.0653262056691,70.52133998972042,4.949896635377485,4.4386189065823345,2.5637239728655095
2024-06-12,212.0782012939453,192.76649017333983,196.8365377577116,77.35014997295573,6.020162133816001,4.754927552029068,2.881524222237719
2024-06-13,213.24273681640625,193.9867835998535,199.36056838212616,86.30575438148247,6.882980818044587,5.180538205232172,2.678899492536268
2024-06-14,211.50086975097656,195.11401138305663,201.228307054257,80.97989737703816,7.341587476331341,5.612748059452006,2.582920619419639
2024-06-17,215.6614227294922,196.44777450561523,203.44878638890856,82.93826986654074,7.949125836792803,6.080023614920165,2.879392351422987
2024-06-18,213.29248046875,197.60486221313477,204.96320086273033,78.18220897946962,8.145553650123162,6.493129621960765,3.027273995535712
2024-06-20,208.70394897460935,198.4673278808594,205.53870057225018,69.90688406109751,7.840586562457673,6.762621010060148,3.283929007393969
2024-06-21,206.5241546630859,199.2929672241211,205.6903088939172,66.06917250841508,7.338414094991862,6.877779627046491,3.371377127511159
2024-06-24,207.171142578125,200.35102005004882,205.9181294607184,65.24087601393722,6.912957048519019,6.8848151113409966,3.2910385131835938
2024-06-25,208.0968017578125,201.30107727050782,206.2533098141175,65.69296826889007,6.574683376317154,6.822788764336228,3.334407261439732
2024-06-26,212.25733947753903,202.4586639404297,207.17700668541312,67.53430259282379,6.566623726150652,6.771555756699113,3.523522513253348
2024-06-27,213.10340881347656,203.64362411499025,208.08876085896134,70.01223408380724,6.552968577164506,6.727838320792192,3.485133579799109
2024-06-28,209.6395568847656,204.605623626709,208.32734486293123,63.70528360856526,6.191273721655222,6.620525400964798,3.561211722237727
2024-07-01,215.7410430908203,205.82492141723634,209.467913821068,72.52616786482143,6.324066979825744,6.561233716736988,3.72899954659599
2024-07-02,219.24465942382812,207.1308135986328,210.97202852918494,65.64134580308308,6.635528904047419,6.576092754199074,2.9817788260323743
2024-07-03,220.51870727539065,208.48448333740234,212.44074833629352,61.36723163377407,6.905566662989116,6.641987535957083,2.6518914358956573
2024-07-05,225.28640747070312,210.0008918762207,214.41700358774116,64.78489527801355,7.418768151666484,6.7973436590989635,2.9092603410993383
2024-07-08,226.759521484375,211.6601318359375,216.3158524949156,68.85604973516435,7.853818092300145,7.0086385457392,2.890063694545209
2024-07-09,227.61550903320312,213.2422332763672,218.05426119311366,66.0862058982118,8.17345089193617,7.2416010149785945,2.6540233067103878
2024-07-10,231.8955078125,215.22595748901367,220.18368374994233,73.80889888763897,8.672155114592812,7.527711834901439,2.790527343750008
2024-07-11,226.5106964111328,216.24220581054686,221.1570703132024,72.33456012524377,8.534492212980041,7.72906791051716,2.847404479980475
2024-07-12,229.4668426513672,217.11163787841798,222.4354968267662,78.2267220948988,8.565195426459042,7.8962934137055365,2.9028581891741134
2024-07-15,233.3088836669922,218.11494522094728,224.10832557141637,79.81373410726559,8.798129188391783,8.076660568642787,3.1310762677873925
2024-07-16,233.7269287109375,219.22624816894532,225.58811066980425,79.57723661986509,8.913711892119437,8.244070833338117,3.094818115234379
